# Every West and Central Asia city row: the bank figure (Wikidata P1082 as the probe took it) vs the enwiki infobox population_total (live, 2026-09-19)
# name | country | bank size | article figure (as of) | ratio | article type | views | wikiTitle

Bandirma | Turkey | 154359 | 167363 (2024) | 0.92 | metro district | 1735 | Bandırma
Bartin | Turkey | 84626 | 81692 (2021) | 1.04 | municipality | 578 | Bartın
Baskale | Turkey | 52544 | 44168 (2022) | 1.19 | metro district | 335 | Başkale
Bergama | Turkey | 105754 | 105754 (2022) | 1.00 | metro district | 2009 | Bergama
Besni | Turkey | 77301 | 37323 (2021) | 2.07 | municipality | 183 | Besni
Beysehir | Turkey | 73768 | 79629 (2024) | 0.93 | metro district | 365 | Beyşehir
Biga | Turkey | 94112 | 57125 (2021) | 1.65 | municipality | 426 | Biga, Çanakkale
Bilecik | Turkey | 81723 | 71594 (2025) | 1.14 | municipality | 1035 | Bilecik
Bingol | Turkey | 160165 | 133423 (2022) | 1.20 | municipality | 1005 | Bingöl
Birecik | Turkey | 95149 | 93866 (2023) | 1.01 | metro district | 578 | Birecik
Bismil | Turkey | 117674 | 118698 (2022) | 0.99 | metro district | 183 | Bismil
Bitlis | Turkey | 52024 | 53023 (2021) | 0.98 | municipality | 1583 | Bitlis
Bolu | Turkey | 184682 | 184682 (2021) | 1.00 | municipality | 2131 | Bolu
Bor | Turkey | 60335 | 41999 (2022) | 1.44 | municipality | 183 | Bor, Niğde
Bozova | Turkey | 58565 | 52680 (2022) | 1.11 | metro district | 152 | Bozova
Bozuyuk | Turkey | 74441 | 71806 (2021) | 1.04 | municipality | 183 | Bozüyük
Bulancak | Turkey | 66736 | 49053 (2022) | 1.36 | municipality | 122 | Bulancak
Bulanik | Turkey | 80540 | 70568 (2024) | 1.14 | municipality | 122 | Bulanık
Burdur | Turkey | 95436 | 95436 (2021) | 1.00 | municipality | 700 | Burdur
Burhaniye | Turkey | 60799 | 64283 (2022) | 0.95 | metro district | 365 | Burhaniye
Caldiran | Turkey | 63013 | 58635 (2022) | 1.07 | metro district | 183 | Çaldıran, Van
Cankiri | Turkey | 90564 | 90564 (2021) | 1.00 | municipality | 822 | Çankırı
Carsamba | Turkey | 138840 | 140664 (2022) | 0.99 | metro district | 335 | Çarşamba
Caycuma | Turkey | 91569 | 30255 (2022) | 3.03 | municipality | 91 | Çaycuma
Cerkezkoy | Turkey | 213243 | 206829 (2022) | 1.03 | metro district | 517 | Çerkezköy
Cermik | Turkey | 50812 | 49644 (2022) | 1.02 | metro district | 183 | Çermik
Ceyhan | Turkey | 159955 | 158922 (2022) | 1.01 | metro district | 761 | Ceyhan
Ceylanpinar | Turkey | 87684 | 90440 (2022) | 0.97 | metro district | 274 | Ceylanpınar
Cihanbeyli | Turkey | 52525 | 50677 (2022) | 1.04 | metro district | 244 | Cihanbeyli
Civril | Turkey | 59967 | 59967 (2022) | 1.00 | metro district | 183 | Çivril
Cizre | Turkey | 143124 | 130916 (2021) | 1.09 | Municipality | 1735 | Cizre
Cinar | Turkey | 74207 | 76966 (2022) | 0.96 | metro district | 91 | Çınar, Diyarbakır
Corlu | Turkey | 300296 | 300296 (2024) | 1.00 | metro district | 1339 | Çorlu
Corum | Turkey | 269595 | 269595 (2022) | 1.00 | municipality | 3744 | Çorum
Cumra | Turkey | 66794 | 67690 (2022) | 0.99 | metro district | 152 | Çumra
Darica | Turkey | 201468 | 225602 (2022) | 0.89 | metro district | 670 | Darıca
Derik | Turkey | 61830 | 62028 (2022) | 1.00 | metro district | 183 | Derik, Turkey
Develi | Turkey | 65322 | 66840 (2022) | 0.98 | metro district | 213 | Develi
Devrek | Turkey | 57540 | 27444 (2022) | 2.10 | municipality | 274 | Devrek
Didim | Turkey | 85055 | 97000 (2022) | 0.88 | metro district | 1766 | Didim
Dogubayazit | Turkey | 121263 | 80061 (2021) | 1.51 | municipality | 1461 | Doğubayazıt
Dortyol | Turkey | 128941 | 128941 (2022) | 1.00 | metro district | 1126 | Dörtyol
Duzce | Turkey | 240633 | 194097 (2022) | 1.24 | municipality | 913 | Düzce
Edremit | Turkey | 154487 | 167901 (2022) | 0.92 | metro district | 1035 | Edremit, Balıkesir
Elazig | Turkey | 421726 | 387072 (2022) | 1.09 | municipality | 2313 | Elazığ
Elbistan | Turkey | 142548 | 141307 (2022) | 1.01 | metro district | 1035 | Elbistan
Ercis | Turkey | 173313 | 171000 (2022) | 1.01 | metro district | 609 | Erciş
Erdemli | Turkey | 140331 | 151928 (2022) | 0.92 | metro district | 244 | Erdemli
Eregli | Turkey | 145389 | 156253 (2024) | 0.93 | metro district | 578 | Ereğli, Konya
Ergani | Turkey | 136099 | 136099 (2022) | 1.00 | metro district | 609 | Ergani
Erzincan | Turkey | 157452 | 150714 () | 1.04 | municipality | 2709 | Erzincan
